cycle,model8,com_size,model12,model13,model1,model15,model11,model16,model3,model7,model10,model14,model5,model4,model6,model20,model2,model19,model18,model9,model17
0,0.01,1,,,,,,,,,,,,,,,,,,,
1,0.009983,1,,,,,,,,,,,,,,,,,,,
2,0.0099660289,1,,,,,,,,,,,,,,,,,,,
3,0.0099490866509,1,,,,,,,,,,,,,,,,,,,
4,0.0099321732036,1,,,,,,,,,,,,,,,,,,,
5,0.0099152885091,1,,,,,,,,,,,,,,,,,,,
6,0.0098984325187,1,,,,,,,,,,,,,,,,,,,
7,0.0098816051834,1,,,,,,,,,,,,,,,,,,,
8,0.0098648064546,1,,,,,,,,,,,,,,,,,,,
9,0.0098480362836,1,,,,,,,,,,,,,,,,,,,
10,0.0098312946219,1,,,,,,,,,,,,,,,,,,,
11,0.009814581421,1,,,,,,,,,,,,,,,,,,,
12,0.0097978966326,1,,,,,,,,,,,,,,,,,,,
13,0.0097812402084,1,,,,,,,,,,,,,,,,,,,
14,0.0097646121,1,,,,,,,,,,,,,,,,,,,
15,0.0097480122594,1,,,,,,,,,,,,,,,,,,,
16,0.0097314406386,1,,,,,,,,,,,,,,,,,,,
17,0.0097148971895,1,,,,,,,,,,,,,,,,,,,
18,0.0096983818643,1,,,,,,,,,,,,,,,,,,,
19,0.0096818946151,1,,,,,,,,,,,,,,,,,,,
20,0.0096654353943,1,,,,,,,,,,,,,,,,,,,
21,0.0096490041541,1,,,,,,,,,,,,,,,,,,,
22,0.009632600847,1,,,,,,,,,,,,,,,,,,,
23,0.0096162254256,1,,,,,,,,,,,,,,,,,,,
24,0.0095998778424,1,,,,,,,,,,,,,,,,,,,
25,0.00958355805,1,,,,,,,,,,,,,,,,,,,
26,0.0095672660014,1,,,,,,,,,,,,,,,,,,,
27,0.0095510016492,1,,,,,,,,,,,,,,,,,,,
28,0.0095347649463,1,,,,,,,,,,,,,,,,,,,
29,0.0095185558459,1,,,,,,,,,,,,,,,,,,,
30,0.009502374301,1,,,,,,,,,,,,,,,,,,,
31,0.0094862202647,1,,,,,,,,,,,,,,,,,,,
32,0.0094700936902,1,,,,,,,,,,,,,,,,,,,
33,0.009453994531,1,,,,,,,,,,,,,,,,,,,
34,0.0094379227403,1,,,,,,,,,,,,,,,,,,,
35,0.0094218782716,1,,,,,,,,,,,,,,,,,,,
36,0.0094058610785,1,,,,,,,,,,,,,,,,,,,
37,0.0093898711147,1,,,,,,,,,,,,,,,,,,,
38,0.0093739083338,1,,,,,,,,,,,,,,,,,,,
39,0.0093579726896,1,,,,,,,,,,,,,,,,,,,
40,0.0093420641361,1,,,,,,,,,,,,,,,,,,,
41,0.009326182627,1,,,,,,,,,,,,,,,,,,,
42,0.0093103281166,1,,,,,,,,,,,,,,,,,,,
43,0.0092945005588,1,,,,,,,,,,,,,,,,,,,
44,0.0092786999078,1,,,,,,,,,,,,,,,,,,,
45,0.009262926118,1,,,,,,,,,,,,,,,,,,,
46,0.0092471791436,1,,,,,,,,,,,,,,,,,,,
47,0.009231458939,1,,,,,,,,,,,,,,,,,,,
48,0.0092157654588,1,,,,,,,,,,,,,,,,,,,
49,0.0092000986576,1,,,,,,,,,,,,,,,,,,,
50,0.0091844584898,1,,,,,,,,,,,,,,,,,,,
0,0.0091844584898,2,0.01,,,,,,,,,,,,,,,,,,
1,0.0091688449104,2,0.009983,,,,,,,,,,,,,,,,,,
2,0.041414255041,2,0.0099660289,,,,,,,,,,,,,,,,,,
3,0.17743550966,2,0.0099490866509,,,,,,,,,,,,,,,,,,
4,0.46263085332,2,0.0099321732036,,,,,,,,,,,,,,,,,,
5,0.74854493501,2,0.0099152885091,,,,,,,,,,,,,,,,,,
6,0.75000956093,2,0.0098984325187,,,,,,,,,,,,,,,,,,
7,0.75147169699,2,0.0098816051834,,,,,,,,,,,,,,,,,,
8,0.75293134741,2,0.0098648064546,,,,,,,,,,,,,,,,,,
9,0.75438851643,2,0.0098480362836,,,,,,,,,,,,,,,,,,
